solver,benchmark,group,run,status,result,elapsed_sec,returncode,timed_out
z3,Scalability Boolean2/z3_smtlib/1.smt2,Scalability Boolean2/z3_smtlib,1,ok,,5.880645309000101,0,False
smc,Scalability Boolean2/z3_smtlib/10.smt2,Scalability Boolean2/z3_smtlib,1,ok,,4.126197036999656,0,False
z3,Scalability Boolean2/z3_smtlib/10.smt2,Scalability Boolean2/z3_smtlib,1,ok,,7.537741075000213,0,False
smc,Scalability Boolean2/z3_smtlib/11.smt2,Scalability Boolean2/z3_smtlib,1,ok,,4.126992438999878,0,False
z3,Scalability Boolean2/z3_smtlib/11.smt2,Scalability Boolean2/z3_smtlib,1,ok,,9.994583694000085,0,False
smc,Scalability Boolean2/z3_smtlib/12.smt2,Scalability Boolean2/z3_smtlib,1,ok,,4.327225300999999,0,False
z3,Scalability Boolean2/z3_smtlib/12.smt2,Scalability Boolean2/z3_smtlib,1,ok,,10.247124408999753,0,False
smc,Scalability Boolean2/z3_smtlib/13.smt2,Scalability Boolean2/z3_smtlib,1,ok,,4.330164858999979,0,False
z3,Scalability Boolean2/z3_smtlib/13.smt2,Scalability Boolean2/z3_smtlib,1,ok,,8.041254775999732,0,False
smc,Scalability Boolean2/z3_smtlib/14.smt2,Scalability Boolean2/z3_smtlib,1,ok,,4.528199612999742,0,False
z3,Scalability Boolean2/z3_smtlib/14.smt2,Scalability Boolean2/z3_smtlib,1,ok,,186.77607086499984,0,False
smc,Scalability Boolean2/z3_smtlib/15.smt2,Scalability Boolean2/z3_smtlib,1,ok,,4.825880618000156,0,False
z3,Scalability Boolean2/z3_smtlib/15.smt2,Scalability Boolean2/z3_smtlib,1,timeout,,300.04575473999967,,True
smc,Scalability Boolean2/z3_smtlib/16.smt2,Scalability Boolean2/z3_smtlib,1,ok,,4.877958948999549,0,False
z3,Scalability Boolean2/z3_smtlib/16.smt2,Scalability Boolean2/z3_smtlib,1,ok,,15.006477433000327,0,False
smc,Scalability Boolean2/z3_smtlib/17.smt2,Scalability Boolean2/z3_smtlib,1,ok,,4.977198046000012,0,False
z3,Scalability Boolean2/z3_smtlib/17.smt2,Scalability Boolean2/z3_smtlib,1,ok,,17.210397060000105,0,False
smc,Scalability Boolean2/z3_smtlib/18.smt2,Scalability Boolean2/z3_smtlib,1,ok,,5.178277851000075,0,False
z3,Scalability Boolean2/z3_smtlib/18.smt2,Scalability Boolean2/z3_smtlib,1,timeout,,300.04864411599965,,True
smc,Scalability Boolean2/z3_smtlib/19.smt2,Scalability Boolean2/z3_smtlib,1,ok,,5.327800587999263,0,False
z3,Scalability Boolean2/z3_smtlib/19.smt2,Scalability Boolean2/z3_smtlib,1,ok,,14.104611759000363,0,False
smc,Scalability Boolean2/z3_smtlib/2.smt2,Scalability Boolean2/z3_smtlib,1,ok,,3.5736653060002936,0,False
z3,Scalability Boolean2/z3_smtlib/2.smt2,Scalability Boolean2/z3_smtlib,1,ok,,6.6332652329992925,0,False
smc,Scalability Boolean2/z3_smtlib/20.smt2,Scalability Boolean2/z3_smtlib,1,ok,,5.228897556999982,0,False
z3,Scalability Boolean2/z3_smtlib/20.smt2,Scalability Boolean2/z3_smtlib,1,ok,,14.656185411000479,0,False
smc,Scalability Boolean2/z3_smtlib/21.smt2,Scalability Boolean2/z3_smtlib,1,ok,,5.58017467100035,0,False
z3,Scalability Boolean2/z3_smtlib/21.smt2,Scalability Boolean2/z3_smtlib,1,ok,,15.449978180000471,0,False
smc,Scalability Boolean2/z3_smtlib/22.smt2,Scalability Boolean2/z3_smtlib,1,ok,,5.778314043000137,0,False
z3,Scalability Boolean2/z3_smtlib/22.smt2,Scalability Boolean2/z3_smtlib,1,ok,,55.20646187999955,0,False
smc,Scalability Boolean2/z3_smtlib/23.smt2,Scalability Boolean2/z3_smtlib,1,ok,,5.678352617999735,0,False
z3,Scalability Boolean2/z3_smtlib/23.smt2,Scalability Boolean2/z3_smtlib,1,ok,,32.809689023999454,0,False
smc,Scalability Boolean2/z3_smtlib/24.smt2,Scalability Boolean2/z3_smtlib,1,ok,,6.0775190909998855,0,False
z3,Scalability Boolean2/z3_smtlib/24.smt2,Scalability Boolean2/z3_smtlib,1,ok,,30.388177992999772,0,False
smc,Scalability Boolean2/z3_smtlib/25.smt2,Scalability Boolean2/z3_smtlib,1,ok,,5.880653657000039,0,False
z3,Scalability Boolean2/z3_smtlib/25.smt2,Scalability Boolean2/z3_smtlib,1,ok,,61.385861153000405,0,False
smc,Scalability Boolean2/z3_smtlib/26.smt2,Scalability Boolean2/z3_smtlib,1,ok,,6.081518564999897,0,False
z3,Scalability Boolean2/z3_smtlib/26.smt2,Scalability Boolean2/z3_smtlib,1,ok,,58.80105728499984,0,False
smc,Scalability Boolean2/z3_smtlib/27.smt2,Scalability Boolean2/z3_smtlib,1,ok,,5.880938211999819,0,False
z3,Scalability Boolean2/z3_smtlib/27.smt2,Scalability Boolean2/z3_smtlib,1,ok,,76.28664876599942,0,False
smc,Scalability Boolean2/z3_smtlib/3.smt2,Scalability Boolean2/z3_smtlib,1,ok,,3.6250783890000093,0,False
z3,Scalability Boolean2/z3_smtlib/3.smt2,Scalability Boolean2/z3_smtlib,1,ok,,6.682856588000504,0,False
smc,Scalability Boolean2/z3_smtlib/4.smt2,Scalability Boolean2/z3_smtlib,1,ok,,3.8240913360004924,0,False
z3,Scalability Boolean2/z3_smtlib/4.smt2,Scalability Boolean2/z3_smtlib,1,ok,,7.735273117000361,0,False
smc,Scalability Boolean2/z3_smtlib/5.smt2,Scalability Boolean2/z3_smtlib,1,ok,,3.925135990999479,0,False
z3,Scalability Boolean2/z3_smtlib/5.smt2,Scalability Boolean2/z3_smtlib,1,ok,,7.9891456219993415,0,False
smc,Scalability Boolean2/z3_smtlib/6.smt2,Scalability Boolean2/z3_smtlib,1,ok,,3.92359358900012,0,False
z3,Scalability Boolean2/z3_smtlib/6.smt2,Scalability Boolean2/z3_smtlib,1,ok,,8.087770324000303,0,False
smc,Scalability Boolean2/z3_smtlib/7.smt2,Scalability Boolean2/z3_smtlib,1,ok,,4.025683015999675,0,False
z3,Scalability Boolean2/z3_smtlib/7.smt2,Scalability Boolean2/z3_smtlib,1,ok,,11.743957137000507,0,False
smc,Scalability Boolean2/z3_smtlib/8.smt2,Scalability Boolean2/z3_smtlib,1,ok,,4.076441997999609,0,False
z3,Scalability Boolean2/z3_smtlib/8.smt2,Scalability Boolean2/z3_smtlib,1,ok,,9.794953745000385,0,False
smc,Scalability Boolean2/z3_smtlib/9.smt2,Scalability Boolean2/z3_smtlib,1,ok,,4.32575376099976,0,False
z3,Scalability Boolean2/z3_smtlib/9.smt2,Scalability Boolean2/z3_smtlib,1,ok,,7.9881048669994925,0,False
smc,Scalability UNSAT/z3_smtlib/1.smt2,Scalability UNSAT/z3_smtlib,1,ok,,1.2242231769996579,0,False
z3,Scalability UNSAT/z3_smtlib/1.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.6191843280003013,0,False
smc,Scalability UNSAT/z3_smtlib/2.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.966230644999996,0,False
z3,Scalability UNSAT/z3_smtlib/2.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.5157317780003723,0,False
smc,Scalability UNSAT/z3_smtlib/3.smt2,Scalability UNSAT/z3_smtlib,1,ok,,1.317213291000371,0,False
z3,Scalability UNSAT/z3_smtlib/3.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.6156660499991631,0,False
smc,Scalability UNSAT/z3_smtlib/4.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.5656645519993617,0,False
z3,Scalability UNSAT/z3_smtlib/4.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.31512156299959315,0,False
smc,Scalability UNSAT/z3_smtlib/5.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.7154782309999064,0,False
z3,Scalability UNSAT/z3_smtlib/5.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.36508869099998265,0,False
smc,Scalability UNSAT/z3_smtlib/6.smt2,Scalability UNSAT/z3_smtlib,1,ok,,1.1665287969999554,0,False
z3,Scalability UNSAT/z3_smtlib/6.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.6156778360000317,0,False
smc,Scalability UNSAT/z3_smtlib/7.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.8666913889992429,0,False
z3,Scalability UNSAT/z3_smtlib/7.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.6156980129999283,0,False
smc,Scalability UNSAT/z3_smtlib/8.smt2,Scalability UNSAT/z3_smtlib,1,ok,,1.3667442559999472,0,False
z3,Scalability UNSAT/z3_smtlib/8.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.5655572979994758,0,False
smc,Scalability UNSAT/z3_smtlib/9.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.9659921069996926,0,False
z3,Scalability UNSAT/z3_smtlib/9.smt2,Scalability UNSAT/z3_smtlib,1,ok,,0.4649544160001824,0,False
smc,Scalability Real/z3_smtlib/1.smt2,Scalability Real/z3_smtlib,1,ok,,1.368431717999556,0,False
z3,Scalability Real/z3_smtlib/1.smt2,Scalability Real/z3_smtlib,1,ok,,1.368265032000636,0,False
smc,Scalability Real/z3_smtlib/2.smt2,Scalability Real/z3_smtlib,1,ok,,3.474578317000123,0,False
z3,Scalability Real/z3_smtlib/2.smt2,Scalability Real/z3_smtlib,1,ok,,6.841209267999147,0,False
smc,Scalability Real/z3_smtlib/3.smt2,Scalability Real/z3_smtlib,1,ok,,7.33862958499958,0,False
z3,Scalability Real/z3_smtlib/3.smt2,Scalability Real/z3_smtlib,1,ok,,13.906314845999077,0,False
smc,Scalability Real/z3_smtlib/4.smt2,Scalability Real/z3_smtlib,1,ok,,12.907491400999788,0,False
z3,Scalability Real/z3_smtlib/4.smt2,Scalability Real/z3_smtlib,1,ok,,27.304488276000484,0,False
smc,Scalability Real/z3_smtlib/5.smt2,Scalability Real/z3_smtlib,1,ok,,18.673544795001362,0,False
z3,Scalability Real/z3_smtlib/5.smt2,Scalability Real/z3_smtlib,1,ok,,128.40774409700134,0,False
